"","state","Jobs","Average_salary","Average_rating"
"1","AL",8,57938,4.21
"2","AZ",9,85667,3.58
"3","CA",152,123513,3.6
"4","CO",11,86182,3.79
"5","CT",5,71100,3.4
"6","DC",11,110182,3.77
"7","DE",6,56500,3.6
"8","FL",16,77625,4.06
"9","GA",6,80667,3.67
"10","IA",5,78900,4.1
"11","ID",2,56250,4.1
"12","IL",40,116662,3.65
"13","IN",10,90300,4.14
"14","KS",3,87000,3.7
"15","KY",6,97000,3.5
"16","LA",4,57625,3.58
"17","MA",103,107495,3.42
"18","MD",35,97357,3.55
"19","MI",6,100250,4.02
"20","MN",2,85500,4.45
"21","MO",9,84722,4.11
"22","NC",21,98452,3.54
"23","NE",4,54250,3.28
"24","NJ",17,104559,3.52
"25","NM",3,74333,3.6
"26","NY",72,98653,3.58
"27","OH",14,87571,3.71
"28","OR",4,92125,3.38
"29","PA",33,93864,3.11
"30","RI",1,1e+05,3.4
"31","SC",1,60500,4.4
"32","TN",13,89269,3.41
"33","TX",28,92679,3.79
"34","UT",10,94150,4.24
"35","VA",41,95622,3.8
"36","WA",21,93190,3.79
"37","WI",10,73300,3.41
