"...1","index","Job.Title","Salary.Estimate","City","Company","Rating","State","Metro.Area","Industry","Sector","Lower.Salary","Upper.Salary","Avg.Salary.K.","cost.of.living","region"
1,0,"Data Scientist","$53K-$91K (Glassdoor est.)","Albuquerque","Tecolote Research","3.8","NM","Albuquerque","Aerospace & Defense","Aerospace & Defense",53,91,72,92.9,"West"
2,1,"Healthcare Data Scientist","$63K-$112K (Glassdoor est.)","Linthicum","University of Maryland Medical System","3.4","MD","Baltimore","Health Care Services & Hospitals","Health Care",63,112,87.5,107,"South"
3,2,"Data Scientist","$80K-$90K (Glassdoor est.)","Clearwater","KnowBe4","4.8","FL","Tampa","Security Services","Business Services",80,90,85,101.4,"South"
4,3,"Data Scientist","$56K-$97K (Glassdoor est.)","Richland","PNNL","3.8","WA","Kennewick","Energy","Oil, Gas, Energy & Utilities",56,97,76.5,99.7,"West"
5,4,"Data Scientist","$86K-$143K (Glassdoor est.)","New York","Affinity Solutions","2.9","NY","New York","Advertising & Marketing","Business Services",86,143,114.5,128,"New York"
6,5,"Data Scientist","$71K-$119K (Glassdoor est.)","Dallas","CyrusOne","3.4","TX","Dallas","Real Estate","Real Estate",71,119,95,98.5,"South"
7,6,"Data Scientist","$54K-$93K (Glassdoor est.)","Baltimore","ClearOne Advantage","4.1","MD","Baltimore","Banks & Credit Unions","Finance",54,93,73.5,107,"South"
8,7,"Data Scientist","$86K-$142K (Glassdoor est.)","San Jose","Logic20/20","3.8","CA","San Jose","Consulting","Business Services",86,142,114,173.5,"California"
9,8,"Research Scientist","$38K-$84K (Glassdoor est.)","Rochester","Rochester Regional Health","3.3","NY","Rochester, NY","Health Care Services & Hospitals","Health Care",38,84,61,96.6,"New York"
10,9,"Data Scientist","$120K-$160K (Glassdoor est.)","New York","<intent>","4.6","NY","New York","Internet","Information Technology",120,160,140,128,"New York"
11,10,"Data Scientist","$126K-$201K (Glassdoor est.)","San Jose","Wish","3.5","CA","San Jose","Other Retail Stores","Retail",126,201,163.5,173.5,"California"
12,11,"Data Scientist","$64K-$106K (Glassdoor est.)","Chantilly","ManTech","4.1","VA","Washington","Research & Development","Business Services",64,106,85,120.1,"South"
13,12,"Staff Data Scientist - Technology","$106K-$172K (Glassdoor est.)","Plano","Walmart","3.2","TX","Dallas","Department, Clothing, & Shoe Stores","Retail",106,172,139,98.5,"South"
14,13,"Data Analyst","$46K-$85K (Glassdoor est.)","Seattle","Yesler","4.1","WA","Seattle","Advertising & Marketing","Business Services",46,85,65.5,124.6,"West"
15,14,"Data Scientist","$83K-$144K (Glassdoor est.)","Cambridge","Takeda Pharmaceuticals","3.7","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",83,144,113.5,132.6,"Massachusetts"
16,15,"Data Engineer I","$102K-$190K (Glassdoor est.)","Newark","Audible","3.6","NJ","New York","Motion Picture Production & Distribution","Media",102,190,146,128,"Northeast"
