"","index","Job Title","Salary Estimate","Rating","Company Name","City","State","Metro Area","Industry","Sector","Lower Salary","Upper Salary","Avg Salary(K)","cost.of.living"
"1",0,"Data Scientist","$53K-$91K (Glassdoor est.)",3.8,"Tecolote Research
3.8","Albuquerque","NM","Albuquerque","Aerospace & Defense","Aerospace & Defense",53,91,72,92.9
"2",1,"Healthcare Data Scientist","$63K-$112K (Glassdoor est.)",3.4,"University of Maryland Medical System
3.4","Linthicum","MD","Baltimore","Health Care Services & Hospitals","Health Care",63,112,87.5,107
"3",2,"Data Scientist","$80K-$90K (Glassdoor est.)",4.8,"KnowBe4
4.8","Clearwater","FL","Tampa","Security Services","Business Services",80,90,85,101.4
"4",3,"Data Scientist","$56K-$97K (Glassdoor est.)",3.8,"PNNL
3.8","Richland","WA","Kennewick","Energy","Oil, Gas, Energy & Utilities",56,97,76.5,99.7
"5",4,"Data Scientist","$86K-$143K (Glassdoor est.)",2.9,"Affinity Solutions
2.9","New York","NY","New York","Advertising & Marketing","Business Services",86,143,114.5,128
"6",5,"Data Scientist","$71K-$119K (Glassdoor est.)",3.4,"CyrusOne
3.4","Dallas","TX","Dallas","Real Estate","Real Estate",71,119,95,98.5
"7",6,"Data Scientist","$54K-$93K (Glassdoor est.)",4.1,"ClearOne Advantage
4.1","Baltimore","MD","Baltimore","Banks & Credit Unions","Finance",54,93,73.5,107
"8",7,"Data Scientist","$86K-$142K (Glassdoor est.)",3.8,"Logic20/20
3.8","San Jose","CA","San Jose","Consulting","Business Services",86,142,114,173.5
"9",8,"Research Scientist","$38K-$84K (Glassdoor est.)",3.3,"Rochester Regional Health
3.3","Rochester","NY","Rochester, NY","Health Care Services & Hospitals","Health Care",38,84,61,96.6
"10",9,"Data Scientist","$120K-$160K (Glassdoor est.)",4.6,"<intent>
4.6","New York","NY","New York","Internet","Information Technology",120,160,140,128
"11",10,"Data Scientist","$126K-$201K (Glassdoor est.)",3.5,"Wish
3.5","San Jose","CA","San Jose","Other Retail Stores","Retail",126,201,163.5,173.5
"12",11,"Data Scientist","$64K-$106K (Glassdoor est.)",4.1,"ManTech
4.1","Chantilly","VA","Washington","Research & Development","Business Services",64,106,85,120.1
"13",12,"Staff Data Scientist - Technology","$106K-$172K (Glassdoor est.)",3.2,"Walmart
3.2","Plano","TX","Dallas","Department, Clothing, & Shoe Stores","Retail",106,172,139,98.5
"14",13,"Data Analyst","$46K-$85K (Glassdoor est.)",4.1,"Yesler
4.1","Seattle","WA","Seattle","Advertising & Marketing","Business Services",46,85,65.5,124.6
"15",14,"Data Scientist","$83K-$144K (Glassdoor est.)",3.7,"Takeda Pharmaceuticals
3.7","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",83,144,113.5,132.6
"16",15,"Data Engineer I","$102K-$190K (Glassdoor est.)",3.6,"Audible
3.6","Newark","NJ","New York","Motion Picture Production & Distribution","Media",102,190,146,128
"17",16,"Scientist I/II, Biology","$67K-$137K (Glassdoor est.)",3.9,"Blueprint Medicines
3.9","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",67,137,102,132.6
"18",17,"Customer Data Scientist","$118K-$189K (Glassdoor est.)",4.3,"h2o.ai
4.3","Mountain View","CA","San Jose","Enterprise Software & Network Solutions","Information Technology",118,189,153.5,173.5
"19",18,"Data Scientist - Health Data Analytics","$110K-$175K (Glassdoor est.)",4.2,"Nuna
4.2","San Francisco","CA","San Francisco","Enterprise Software & Network Solutions","Information Technology",110,175,142.5,178.6
"20",19,"Data Scientist","$64K-$111K (Glassdoor est.)",4,"Pinnacol Assurance
4.0","Denver","CO","Denver","Insurance Carriers","Insurance",64,111,87.5,112.1
"21",20,"Data Scientist","$81K-$130K (Glassdoor est.)",3.2,"Porch
3.2","Seattle","WA","Seattle","Internet","Information Technology",81,130,105.5,124.6
"22",21,"Senior Data Scientist / Machine Learning","$73K-$119K (Glassdoor est.)",3.9,"Health IQ
3.9","Dallas","TX","Dallas","Insurance Agencies & Brokerages","Insurance",73,119,96,98.5
"23",22,"Data Scientist - Quantitative","$86K-$139K (Glassdoor est.)",3.8,"Truckstop.com
3.8","Chicago","IL","Chicago","Logistics & Supply Chain","Transportation & Logistics",86,139,112.5,100.1
"24",23,"Data Scientist","$63K-$105K (Glassdoor est.)",4.3,"SMC 3
4.3","Louisville","KY","Louisville","Logistics & Supply Chain","Transportation & Logistics",63,105,84,91.6
"25",25,"Data Scientist","$109K-$177K (Glassdoor est.)",4,"Novetta
4.0","Herndon","VA","Washington","Enterprise Software & Network Solutions","Information Technology",109,177,143,120.1
"26",26,"Digital Health Data Scientist","$63K-$110K (Glassdoor est.)",4,"Pfizer
4.0","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",63,110,86.5,132.6
"27",27,"Data Scientist","$75K-$124K (Glassdoor est.)",3.5,"First Tech Federal Credit Union
3.5","Hillsboro","OR","Portland, OR","Banks & Credit Unions","Finance",75,124,99.5,116.5
"28",28,"Associate Data Analyst","$34K-$61K (Glassdoor est.)",3.7,"The Hanover Insurance Group
3.7","Worcester","MA","Worcester","Insurance Carriers","Insurance",34,61,47.5,113.2
"29",29,"Clinical Data Scientist","$63K-$105K (Glassdoor est.)",4,"Pfizer
4.0","Groton","CT","New London","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",63,105,84,105.9
"30",30,"Data Scientist","$80K-$90K (Glassdoor est.)",4.8,"KnowBe4
4.8","Clearwater","FL","Tampa","Security Services","Business Services",80,90,85,101.4
"31",31,"Data Scientist","$56K-$97K (Glassdoor est.)",3.8,"PNNL
3.8","Richland","WA","Kennewick","Energy","Oil, Gas, Energy & Utilities",56,97,76.5,99.7
"32",32,"Data Scientist","$72K-$120K (Glassdoor est.)",3.6,"Amrock
3.6","Detroit","MI","Detroit","Real Estate","Real Estate",72,120,96,93.2
"33",33,"Data Scientist / Machine Learning Expert","$86K-$143K (Glassdoor est.)",3.8,"Novartis
3.8","Cambridge","MA","Boston","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals",86,143,114.5,132.6
